time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,17,7,1,1
2026-04-30 00:00:00+00:00,29,7,1,1
2026-05-01 00:00:00+00:00,24,8,14,3
2026-05-02 00:00:00+00:00,19,7,3,3
2026-05-03 00:00:00+00:00,29,12,5,3
2026-05-04 00:00:00+00:00,17,6,9,4
2026-05-05 00:00:00+00:00,31,9,0,0
2026-05-06 00:00:00+00:00,6,4,2,2
2026-05-07 00:00:00+00:00,12,5,0,0
2026-05-08 00:00:00+00:00,14,7,1,1
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,14,5,4,1
2026-05-11 00:00:00+00:00,14,4,4,3
2026-05-12 00:00:00+00:00,16,4,0,0
